event_date,event_class,satellite_timestamp,satellite_identifier,satellite_record_id,satellite_available,radar_available,lightning_available,nwp_available,time_utc,hour,minute,delta_minutes
2026-04-06,TSRA,2026-04-06 00:00:00+00:00,3SIMG_06APR2026_0000_L1B_STD_V01R00.h5,17468728,1,,,,00:00,0,0,
2026-04-06,TSRA,2026-04-06 00:30:00+00:00,3SIMG_06APR2026_0030_L1B_STD_V01R00.h5,17468852,1,,,,00:30,0,30,30.0
2026-04-06,TSRA,2026-04-06 01:00:00+00:00,3SIMG_06APR2026_0100_L1B_STD_V01R00.h5,17468962,1,,,,01:00,1,0,30.0
2026-04-06,TSRA,2026-04-06 01:30:00+00:00,3SIMG_06APR2026_0130_L1B_STD_V01R00.h5,17469078,1,,,,01:30,1,30,30.0
2026-04-06,TSRA,2026-04-06 02:00:00+00:00,3SIMG_06APR2026_0200_L1B_STD_V01R00.h5,17469194,1,,,,02:00,2,0,30.0
2026-04-06,TSRA,2026-04-06 02:30:00+00:00,3SIMG_06APR2026_0230_L1B_STD_V01R00.h5,17469294,1,,,,02:30,2,30,30.0
2026-04-06,TSRA,2026-04-06 03:00:00+00:00,3SIMG_06APR2026_0300_L1B_STD_V01R00.h5,17469434,1,,,,03:00,3,0,30.0
2026-04-06,TSRA,2026-04-06 03:30:00+00:00,3SIMG_06APR2026_0330_L1B_STD_V01R00.h5,17469578,1,,,,03:30,3,30,30.0
2026-04-06,TSRA,2026-04-06 04:00:00+00:00,3SIMG_06APR2026_0400_L1B_STD_V01R00.h5,17469700,1,,,,04:00,4,0,30.0
2026-04-06,TSRA,2026-04-06 04:30:00+00:00,3SIMG_06APR2026_0430_L1B_STD_V01R00.h5,17469820,1,,,,04:30,4,30,30.0
2026-04-06,TSRA,2026-04-06 05:00:00+00:00,3SIMG_06APR2026_0500_L1B_STD_V01R00.h5,17469980,1,,,,05:00,5,0,30.0
2026-04-06,TSRA,2026-04-06 05:30:00+00:00,3SIMG_06APR2026_0530_L1B_STD_V01R00.h5,17470090,1,,,,05:30,5,30,30.0
2026-04-06,TSRA,2026-04-06 06:00:00+00:00,3SIMG_06APR2026_0600_L1B_STD_V01R00.h5,17470220,1,,,,06:00,6,0,30.0
2026-04-06,TSRA,2026-04-06 06:30:00+00:00,3SIMG_06APR2026_0630_L1B_STD_V01R00.h5,17470352,1,,,,06:30,6,30,30.0
