dataset_id,identifier,record_id,updated,timestamp,date,time_utc,hour,minute
3SIMG_L1B_STD,3SIMG_06APR2026_1630_L1B_STD_V01R00.h5,17473250,2026-04-06T16:30:00Z,2026-04-06 16:30:00,2026-04-06,16:30,16,30
3SIMG_L1B_STD,3SIMG_06APR2026_1700_L1B_STD_V01R00.h5,17473410,2026-04-06T17:00:00Z,2026-04-06 17:00:00,2026-04-06,17:00,17,0
3SIMG_L1B_STD,3SIMG_06APR2026_2000_L1B_STD_V01R00.h5,17473910,2026-04-06T20:00:00Z,2026-04-06 20:00:00,2026-04-06,20:00,20,0
3SIMG_L1B_STD,3SIMG_06APR2026_2030_L1B_STD_V01R00.h5,17473942,2026-04-06T20:30:00Z,2026-04-06 20:30:00,2026-04-06,20:30,20,30
3SIMG_L1B_STD,3SIMG_06APR2026_2100_L1B_STD_V01R00.h5,17474012,2026-04-06T21:00:00Z,2026-04-06 21:00:00,2026-04-06,21:00,21,0
3SIMG_L1B_STD,3SIMG_06APR2026_2130_L1B_STD_V01R00.h5,17474060,2026-04-06T21:30:00Z,2026-04-06 21:30:00,2026-04-06,21:30,21,30
3SIMG_L1B_STD,3SIMG_06APR2026_2200_L1B_STD_V01R00.h5,17474144,2026-04-06T22:00:00Z,2026-04-06 22:00:00,2026-04-06,22:00,22,0
3SIMG_L1B_STD,3SIMG_06APR2026_2230_L1B_STD_V01R00.h5,17474224,2026-04-06T22:30:00Z,2026-04-06 22:30:00,2026-04-06,22:30,22,30
3SIMG_L1B_STD,3SIMG_06APR2026_2300_L1B_STD_V01R00.h5,17474318,2026-04-06T23:00:00Z,2026-04-06 23:00:00,2026-04-06,23:00,23,0
3SIMG_L1B_STD,3SIMG_06APR2026_2330_L1B_STD_V01R00.h5,17474422,2026-04-06T23:30:00Z,2026-04-06 23:30:00,2026-04-06,23:30,23,30
