DATE,TIME,K_INDEX,TOTAL_TOTALS,LIFTED_INDEX,SHOWALTER_INDEX,SWEAT,MIXR_SB,MIXR_MU,MIXR_ML,CAPE_SB,CAPE_MU,CAPE_ML,CAPE03_SB,CAPE03_MU,CAPE03_ML,CAPEHGL_SB,CAPEHGL_MU,CAPEHGL_ML,CIN_SB,CIN_MU,CIN_ML,LI_SB,LI_MU,LI_ML,LCL_SB,LCL_MU,LCL_ML,LFC_SB,LFC_MU,LFC_ML,EL_SB,EL_MU,EL_ML,WMAXSHR_SB,WMAXSHR_MU,WMAXSHR_ML,EVENT_CLASS,THUNDERSTORM
1/4/2026,00Z,29.9,42.8,-0.8,3.2,118,15.3,15.3,15.3,562,2114,887,0,12,26,216,756,403,-268,-45,-124,-1,-4,-2,503,279,1266,2944,2044,2757,9256,12312,9447,114,220,143,0,0
1/4/2026,12Z,26.7,44.2,-6.9,2.3,119,18.1,18.1,18.1,3873,3873,3873,54,54,31,1205,1205,878,0,0,-56,-7,-7,-5,1162,1162,1452,1764,1764,2163,14371,14371,13075,1014,1014,830,0,0
2/4/2026,00Z,24.1,41.4,-4.5,4.2,100,18.6,18.6,18.6,2351,2800,758,11,16,49,862,943,306,-72,-43,-158,-5,-5,-1,261,180,1423,2108,1964,2955,13426,13819,9955,622,679,353,0,0
2/4/2026,12Z,15.9,42.2,-5.2,4.2,71,15.2,15.2,15.2,1960,1960,168,7,7,26,649,649,24,-23,-23,-161,-5,-5,-1,1668,1668,2455,2542,2542,4882,13459,13459,7585,673,673,197,0,0
3/4/2026,00Z,32.3,42.4,-4.8,3.3,118,19.4,19.4,19.4,2808,3342,50,29,39,59,889,984,0,-86,-48,-274,-5,-5,1,172,116,2048,2102,1984,4359,13893,14204,5241,501,546,67,0,0
3/4/2026,12Z,35.9,49.8,-6.3,-1.5,188,16.8,16.8,16.8,2976,3193,2495,6,4,22,981,1016,861,-94,-97,-82,-6,-7,-6,1429,1320,1731,2272,2214,2402,14288,14383,13909,1157,1198,1059,0,0
4/4/2026,00Z,36.5,47.8,-7.3,-0.3,162,20.4,20.4,20.4,3928,3928,352,59,59,53,1215,1215,145,-15,-15,-253,-7,-7,1,241,241,1712,1877,1877,8242,14896,14896,9864,515,515,154,1,1
4/4/2026,12Z,27.7,44.8,-6.8,1.7,166,18.9,18.9,18.9,4708,4708,3069,56,56,35,1202,1202,852,0,0,-63,-7,-7,-5,1293,1293,1625,1947,1947,2303,15649,15649,14785,1129,1129,912,1,1
5/4/2026,00Z,39.1,49.6,-6,-2.8,242,19.9,19.9,19.9,3518,3916,782,40,49,52,1140,1214,330,-65,-41,-228,-6,-6,-1,244,184,1592,1954,1850,2941,14469,14612,11503,1361,1436,642,1,1
5/4/2026,12Z,34.1,45.4,-2.9,1.1,187,16.6,16.6,16.6,589,2229,1343,2,8,59,413,475,682,-87,0,-22,-3,-3,-5,209,571,659,2108,1354,1671,8724,13996,12965,575,1119,869,1,1
