,K_INDEX,TOTAL_TOTALS,LIFTED_INDEX,SHOWALTER_INDEX,SWEAT,MIXR_SB,MIXR_MU,MIXR_ML,CAPE_SB,CAPE_MU,CAPE_ML,CAPE03_SB,CAPE03_MU,CAPE03_ML,CAPEHGL_SB,CAPEHGL_MU,CAPEHGL_ML,CIN_SB,CIN_MU,CIN_ML,LI_SB,LI_MU,LI_ML,LCL_SB,LCL_MU,LCL_ML,LFC_SB,LFC_MU,LFC_ML,EL_SB,EL_MU,EL_ML,WMAXSHR_SB,WMAXSHR_MU,WMAXSHR_ML
K_INDEX,1.0,0.7378369141255721,-0.15609081053618812,-0.6779753043529377,0.5794131389783448,-0.17038495400475898,-0.17038495400475898,-0.17038495400475898,-0.15143452260408632,-0.18350763264490005,0.0592663010690754,-0.21412566162044652,-0.2100973223695725,-0.25559626184642015,0.055982585320824556,0.01050760212416299,0.2618757463292752,-0.25286764848985444,-0.21412784725997389,-0.18470716100366405,-0.1659338987264882,-0.08915201573937588,-0.31289000517458954,-0.03775411891807886,0.10037114583228827,-0.10861320747989878,0.30025453821058534,0.2652290686168416,0.11037639549260614,-0.27209529955758716,-0.2336318695784898,-0.05730876315833248,0.051816210441031525,0.09260693475793404,0.17662608156564077
TOTAL_TOTALS,0.7378369141255721,1.0,-0.5009245309730407,-0.8593392412636891,0.8111396297519127,-0.08694924627888038,-0.08694924627888038,-0.08694924627888038,0.03258928431658902,-0.03633155358631735,0.2537919620098773,-0.1238458506455299,-0.1584639203682244,-0.31749915097822246,0.2777621980336696,0.21021842248637163,0.49472126081028966,-0.2664821763025549,-0.3242373215734223,-0.17344784967715482,-0.4900977860516625,-0.3269370438485304,-0.6291852894516361,0.1908219777551912,0.22705033288044812,-0.06871078457276249,0.24825486511483824,0.36323955997853774,0.014231224113086915,-0.14502943894936948,-0.15291022997865256,0.08142891620644704,0.18288299946285952,0.17568739253624222,0.28463728081878364
LIFTED_INDEX,-0.15609081053618812,-0.5009245309730407,1.0,0.3879128050134832,-0.23054772753518088,-0.6004859793290763,-0.6004859793290763,-0.6004859793290763,-0.7415446986313239,-0.6337581270173773,-0.5786611428925058,-0.03783287273869416,0.052321875713764426,0.12005931694885041,-0.8993900736937839,-0.7399028728253167,-0.6814859215507156,-0.3772750109166898,0.03409629838202149,-0.06564928761074013,0.9939780652316389,0.6592501544119094,0.7315484015249579,-0.24668597809749535,-0.04670060419531332,-0.0292258746125941,0.30746244229424186,-0.038404248384855975,0.2500307753061141,-0.43215884767987583,-0.24255315753906287,-0.45716393583572235,-0.5147506885577112,-0.37001838280635174,-0.43026128179893935
SHOWALTER_INDEX,-0.6779753043529377,-0.8593392412636891,0.3879128050134832,1.0,-0.7932216512099537,-0.006306537150152604,-0.006306537150152604,-0.006306537150152604,-0.06244317489723891,-0.011009652984374162,-0.21559072150765368,0.023867912759417166,0.049440868319832916,0.16061720977649024,-0.2613101487949873,-0.22542190123037922,-0.4119681319637365,0.20063365451071502,0.22503299651725434,0.13129292720692937,0.367619788512595,0.2842421433232614,0.4788197316714535,-0.0727442182309634,-0.1498283331154941,0.07544563096311771,-0.19386892564589817,-0.2524844999399977,-0.005851469025938382,0.12035146757796802,0.13645125993790896,-0.09863732687365258,-0.16947668534917798,-0.16197009450957353,-0.2622294213341925
SWEAT,0.5794131389783448,0.8111396297519127,-0.23054772753518088,-0.7932216512099537,1.0,-0.11915753412785632,-0.11915753412785632,-0.11915753412785632,-0.10160733201438542,-0.18696606996568638,0.1498583866969692,0.07455833362646724,0.08854083451624131,-0.18756027416912383,0.05993230044240702,0.02463315759377094,0.33900698525762446,-0.15934281168823847,-0.09690228233413868,0.03337918470202249,-0.21270851969583318,-0.15788143542251418,-0.4381087257052129,0.07348376884905938,0.1532158889501344,-0.27810162260162075,0.2023880880822694,0.16748619278730373,0.0052909945011881,-0.17640860005859166,-0.1699549908459935,0.06116087746217607,0.24428236288482533,0.2803977137536984,0.3491820873166694
MIXR_SB,-0.17038495400475898,-0.08694924627888038,-0.6004859793290763,-0.006306537150152604,-0.11915753412785632,1.0,1.0,1.0,0.8690559398577153,0.8299496689186923,0.5483677556819099,0.17408564756788625,0.14236901345096806,0.25707321380270814,0.7432525337700853,0.6445978895555258,0.3808291286703303,0.6660092962981171,0.22453962115809695,0.13097663741275406,-0.5953796347705586,-0.43876975437396476,-0.23415250636616666,-0.250397652565853,-0.36195331164765304,-0.20283885673023366,-0.5425620676601886,-0.32722613016136864,-0.30680617484552936,0.6143811394473705,0.4175989309572379,0.6099335143323843,0.5342333169429485,0.39539412266710844,0.3834047701989094
MIXR_MU,-0.17038495400475898,-0.08694924627888038,-0.6004859793290763,-0.006306537150152604,-0.11915753412785632,1.0,1.0,1.0,0.8690559398577153,0.8299496689186923,0.5483677556819099,0.17408564756788625,0.14236901345096806,0.25707321380270814,0.7432525337700853,0.6445978895555258,0.3808291286703303,0.6660092962981171,0.22453962115809695,0.13097663741275406,-0.5953796347705586,-0.43876975437396476,-0.23415250636616666,-0.250397652565853,-0.36195331164765304,-0.20283885673023366,-0.5425620676601886,-0.32722613016136864,-0.30680617484552936,0.6143811394473705,0.4175989309572379,0.6099335143323843,0.5342333169429485,0.39539412266710844,0.3834047701989094
MIXR_ML,-0.17038495400475898,-0.08694924627888038,-0.6004859793290763,-0.006306537150152604,-0.11915753412785632,1.0,1.0,1.0,0.8690559398577153,0.8299496689186923,0.5483677556819099,0.17408564756788625,0.14236901345096806,0.25707321380270814,0.7432525337700853,0.6445978895555258,0.3808291286703303,0.6660092962981171,0.22453962115809695,0.13097663741275406,-0.5953796347705586,-0.43876975437396476,-0.23415250636616666,-0.250397652565853,-0.36195331164765304,-0.20283885673023366,-0.5425620676601886,-0.32722613016136864,-0.30680617484552936,0.6143811394473705,0.4175989309572379,0.6099335143323843,0.5342333169429485,0.39539412266710844,0.3834047701989094
CAPE_SB,-0.15143452260408632,0.03258928431658902,-0.7415446986313239,-0.06244317489723891,-0.10160733201438542,0.8690559398577153,0.8690559398577153,0.8690559398577153,1.0,0.9161403698395191,0.6759418801301111,0.1841290028119057,0.09792896237874975,0.09124807274915286,0.8718022112695101,0.7011972739726395,0.506265408909859,0.6143545838575752,0.24155541424726643,0.16207136364157462,-0.7352150195596396,-0.5080822171023435,-0.36894365226357273,0.22409565029847892,0.0018046990129895882,0.04194061523779078,-0.554990041159586,-0.16210798614780048,-0.3375371951755928,0.6196342510881483,0.39198429955129716,0.6574694276896506,0.5865878709879562,0.4094019761177977,0.4188355157410027
CAPE_MU,-0.18350763264490005,-0.03633155358631735,-0.6337581270173773,-0.011009652984374162,-0.18696606996568638,0.8299496689186923,0.8299496689186923,0.8299496689186923,0.9161403698395191,1.0,0.7063431916338471,0.10325832712828568,0.04790436590862528,0.10873952297109028,0.7809378707794007,0.6746306880318903,0.5406528945649193,0.4952683176186335,0.25815138073673183,0.18424776088424422,-0.6349399046923283,-0.5199587699718767,-0.37403146692569483,0.11513456739175204,-0.09203970088179937,-0.029927151803527462,-0.5930697444724785,-0.23350788581641746,-0.44823776962583106,0.5408092967761098,0.40271868450909803,0.7070637410370223,0.5199931139095976,0.4209241175312767,0.4198344694206772
