model,fold,precision,recall,f1,roc_auc,pr_auc
A0,1,1.0,1.0,1.0,1.0,1.0
A0,2,0.6,0.75,0.6666666666666666,0.6875,0.5111111111111111
A0,3,0.2857142857142857,1.0,0.4444444444444444,0.9500000000000001,0.8333333333333333
A0,4,1.0,0.6666666666666666,0.8,1.0,1.0
A0,5,0.5714285714285714,0.8,0.6666666666666666,0.7666666666666667,0.8509090909090908
A1,1,0.6666666666666666,1.0,0.8,0.96875,0.95
A1,2,0.4,0.5,0.4444444444444444,0.5,0.5270833333333333
A1,3,0.6666666666666666,1.0,0.8,1.0,1.0
A1,4,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0
A1,5,0.8,0.8,0.8,0.8333333333333334,0.8711111111111112
A2,1,0.6666666666666666,1.0,0.8,0.96875,0.95
A2,2,0.3333333333333333,0.5,0.4,0.46875,0.5166666666666666
A2,3,0.6666666666666666,1.0,0.8,1.0,1.0
A2,4,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0
A2,5,0.8,0.8,0.8,0.8666666666666667,0.911111111111111
A3,1,0.6666666666666666,1.0,0.8,0.96875,0.95
A3,2,0.5,0.5,0.5,0.625,0.6904761904761905
A3,3,0.5,1.0,0.6666666666666666,0.9,0.5833333333333333
A3,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666667,0.9305555555555556
A3,5,1.0,0.6,0.75,0.8333333333333334,0.8583333333333332
