feature,coefficient,abs_coefficient
CIN_MU,1.1461018722807963,1.1461018722807963
LCL_ML,-1.004651984041455,1.004651984041455
CAPE_MU,-0.8265362842376999,0.8265362842376999
K_INDEX,0.8036274741257782,0.8036274741257782
CAPE_ML,-0.7588578684266492,0.7588578684266492
SWEAT,0.6296353232492743,0.6296353232492743
LIFTED_INDEX,-0.5888575428601797,0.5888575428601797
CIN_ML,-0.551151855037049,0.551151855037049
MIXR_MU,-0.35479227241586286,0.35479227241586286
CAPE_SB,0.3252578612790817,0.3252578612790817
LFC_SB,0.2609313459181958,0.2609313459181958
WMAXSHR_MU,0.179699164136227,0.179699164136227
CIN_SB,0.15760228124853937,0.15760228124853937
LCL_SB,0.15499194450361908,0.15499194450361908
TOTAL_TOTALS,-0.15484595294630638,0.15484595294630638
SHOWALTER_INDEX,0.09091288052338044,0.09091288052338044
LCL_MU,0.07627740597078873,0.07627740597078873
LFC_ML,0.04354601535976731,0.04354601535976731
LFC_MU,-0.04040486608462238,0.04040486608462238
