,count,mean,std,min,25%,50%,75%,max,missing,missing_percent
K_INDEX,59.0,28.849152542372885,10.253079821261375,-17.5,24.8,29.9,35.9,44.5,1,1.6666666666666667
TOTAL_TOTALS,59.0,46.5864406779661,6.0189487461974,33.4,42.3,46.8,50.1,60.0,1,1.6666666666666667
LIFTED_INDEX,59.0,-6.366101694915255,2.662874397797492,-12.6,-8.0,-6.6,-5.1,-0.2,1,1.6666666666666667
SHOWALTER_INDEX,59.0,0.19322033898305085,3.9007896816245875,-8.4,-2.3499999999999996,-0.5,3.25,8.8,1,1.6666666666666667
SWEAT,59.0,191.52542372881356,102.73305816065975,20.0,118.0,188.0,243.0,459.0,1,1.6666666666666667
MIXR_SB,59.0,19.15423728813559,1.9261648543600385,13.1,18.5,19.9,20.4,21.7,1,1.6666666666666667
MIXR_MU,59.0,19.15423728813559,1.9261648543600385,13.1,18.5,19.9,20.4,21.7,1,1.6666666666666667
MIXR_ML,59.0,19.15423728813559,1.9261648543600385,13.1,18.5,19.9,20.4,21.7,1,1.6666666666666667
CAPE_SB,59.0,3450.0,1529.3286559569315,296.0,2796.5,3653.0,4582.0,6352.0,1,1.6666666666666667
CAPE_MU,59.0,4046.1186440677966,1289.119722172724,621.0,3625.0,4213.0,4884.5,6352.0,1,1.6666666666666667
CAPE_ML,59.0,2316.0,1299.8432796780303,50.0,974.5,2560.0,3202.0,4915.0,1,1.6666666666666667
CAPE03_SB,59.0,22.135593220338983,39.52845227005681,0.0,1.0,5.0,19.0,184.0,1,1.6666666666666667
CAPE03_MU,59.0,25.152542372881356,43.533900210787785,0.0,1.0,7.0,20.0,184.0,1,1.6666666666666667
CAPE03_ML,59.0,48.813559322033896,27.48634430621315,4.0,32.0,44.0,57.5,136.0,1,1.6666666666666667
CAPEHGL_SB,59.0,1001.2033898305085,400.3770111067738,112.0,788.0,1067.0,1273.0,1588.0,1,1.6666666666666667
CAPEHGL_MU,59.0,1030.7118644067796,397.22772287735177,0.0,854.5,1105.0,1320.5,1588.0,1,1.6666666666666667
CAPEHGL_ML,59.0,722.5593220338983,390.4593347710838,0.0,365.5,780.0,973.0,1449.0,1,1.6666666666666667
CIN_SB,59.0,-111.88135593220339,133.5384594925634,-714.0,-145.0,-82.0,-23.0,0.0,1,1.6666666666666667
CIN_MU,59.0,-50.25423728813559,55.43203145335892,-270.0,-80.5,-40.0,0.0,0.0,1,1.6666666666666667
CIN_ML,59.0,-153.38983050847457,98.13485038616814,-396.0,-230.0,-159.0,-76.0,0.0,1,1.6666666666666667
LI_SB,59.0,-6.389830508474576,2.6588625332606655,-13.0,-8.0,-7.0,-5.0,0.0,1,1.6666666666666667
LI_MU,59.0,-5.983050847457627,3.8751708546259445,-13.0,-8.0,-7.0,-5.0,8.0,1,1.6666666666666667
LI_ML,59.0,-4.576271186440678,2.853934911120799,-12.0,-6.0,-5.0,-3.0,1.0,1,1.6666666666666667
LCL_SB,59.0,648.1525423728814,376.3586795066332,151.0,324.5,644.0,902.5,1668.0,1,1.6666666666666667
LCL_MU,59.0,720.457627118644,534.6244676868472,116.0,285.5,649.0,1046.5,2823.0,1,1.6666666666666667
LCL_ML,59.0,1358.3050847457628,463.86447389955765,572.0,1038.0,1278.0,1609.0,2455.0,1,1.6666666666666667
LFC_SB,59.0,2445.8474576271187,966.2881667273061,1127.0,1995.0,2340.0,2524.5,6646.0,1,1.6666666666666667
LFC_MU,59.0,2112.9491525423728,487.9444012889885,932.0,1878.0,2121.0,2397.5,3697.0,1,1.6666666666666667
LFC_ML,59.0,3019.728813559322,1440.7064458525135,1469.0,2381.5,2757.0,3116.0,9108.0,1,1.6666666666666667
EL_SB,58.0,13538.965517241379,2649.8505549751967,1501.0,13552.0,14438.0,14907.25,15884.0,2,3.3333333333333335
EL_MU,58.0,14196.603448275862,2201.0925990202195,1555.0,13999.75,14778.0,15330.0,15884.0,2,3.3333333333333335
EL_ML,58.0,12646.034482758621,2248.4883418313475,5241.0,11537.0,13496.0,14170.25,15170.0,2,3.3333333333333335
WMAXSHR_SB,59.0,1088.084745762712,522.1152035688858,26.0,606.0,1131.0,1409.0,2322.0,1,1.6666666666666667
WMAXSHR_MU,59.0,1198.4745762711864,517.9828700380299,46.0,773.0,1207.0,1529.5,2344.0,1,1.6666666666666667
WMAXSHR_ML,59.0,903.5593220338983,501.5965981566173,28.0,533.5,880.0,1172.0,2015.0,1,1.6666666666666667
