DATE,TIME,K_INDEX,TOTAL_TOTALS,LIFTED_INDEX,SHOWALTER_INDEX,SWEAT,MIXR_SB,MIXR_MU,MIXR_ML,CAPE_SB,CAPE_MU,CAPE_ML,CAPE03_SB,CAPE03_MU,CAPE03_ML,CAPEHGL_SB,CAPEHGL_MU,CAPEHGL_ML,CIN_SB,CIN_MU,CIN_ML,LI_SB,LI_MU,LI_ML,LCL_SB,LCL_MU,LCL_ML,LFC_SB,LFC_MU,LFC_ML,EL_SB,EL_MU,EL_ML,WMAXSHR_SB,WMAXSHR_MU,WMAXSHR_ML,EVENT_CLASS,THUNDERSTORM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2026,00Z,29.9,42.8,-0.8,3.2,118.0,15.3,15.3,15.3,562.0,2114.0,887.0,0.0,12.0,26.0,216.0,756.0,403.0,-268.0,-45.0,-124.0,-1.0,-4.0,-2.0,503.0,279.0,1266.0,2944.0,2044.0,2757.0,9256.0,12312.0,9447.0,114.0,220.0,143.0,0.0,0.0
,12Z,26.7,44.2,-6.9,2.3,119.0,18.1,18.1,18.1,3873.0,3873.0,3873.0,54.0,54.0,31.0,1205.0,1205.0,878.0,0.0,0.0,-56.0,-7.0,-7.0,-5.0,1162.0,1162.0,1452.0,1764.0,1764.0,2163.0,14371.0,14371.0,13075.0,1014.0,1014.0,830.0,0.0,0.0
2/4/2026,00Z,24.1,41.4,-4.5,4.2,100.0,18.6,18.6,18.6,2351.0,2800.0,758.0,11.0,16.0,49.0,862.0,943.0,306.0,-72.0,-43.0,-158.0,-5.0,-5.0,-1.0,261.0,180.0,1423.0,2108.0,1964.0,2955.0,13426.0,13819.0,9955.0,622.0,679.0,353.0,0.0,0.0
,12Z,15.9,42.2,-5.2,4.2,71.0,15.2,15.2,15.2,1960.0,1960.0,168.0,7.0,7.0,26.0,649.0,649.0,24.0,-23.0,-23.0,-161.0,-5.0,-5.0,-1.0,1668.0,1668.0,2455.0,2542.0,2542.0,4882.0,13459.0,13459.0,7585.0,673.0,673.0,197.0,0.0,0.0
3/4/2026,00Z,32.3,42.4,-4.8,3.3,118.0,19.4,19.4,19.4,2808.0,3342.0,50.0,29.0,39.0,59.0,889.0,984.0,0.0,-86.0,-48.0,-274.0,-5.0,-5.0,1.0,172.0,116.0,2048.0,2102.0,1984.0,4359.0,13893.0,14204.0,5241.0,501.0,546.0,67.0,0.0,0.0
,12Z,35.9,49.8,-6.3,-1.5,188.0,16.8,16.8,16.8,2976.0,3193.0,2495.0,6.0,4.0,22.0,981.0,1016.0,861.0,-94.0,-97.0,-82.0,-6.0,-7.0,-6.0,1429.0,1320.0,1731.0,2272.0,2214.0,2402.0,14288.0,14383.0,13909.0,1157.0,1198.0,1059.0,0.0,0.0
4/4/2026,00Z,36.5,47.8,-7.3,-0.3,162.0,20.4,20.4,20.4,3928.0,3928.0,352.0,59.0,59.0,53.0,1215.0,1215.0,145.0,-15.0,-15.0,-253.0,-7.0,-7.0,1.0,241.0,241.0,1712.0,1877.0,1877.0,8242.0,14896.0,14896.0,9864.0,515.0,515.0,154.0,1.0,1.0
,12Z,27.7,44.8,-6.8,1.7,166.0,18.9,18.9,18.9,4708.0,4708.0,3069.0,56.0,56.0,35.0,1202.0,1202.0,852.0,0.0,0.0,-63.0,-7.0,-7.0,-5.0,1293.0,1293.0,1625.0,1947.0,1947.0,2303.0,15649.0,15649.0,14785.0,1129.0,1129.0,912.0,1.0,1.0
5/4/2026,00Z,39.1,49.6,-6.0,-2.8,242.0,19.9,19.9,19.9,3518.0,3916.0,782.0,40.0,49.0,52.0,1140.0,1214.0,330.0,-65.0,-41.0,-228.0,-6.0,-6.0,-1.0,244.0,184.0,1592.0,1954.0,1850.0,2941.0,14469.0,14612.0,11503.0,1361.0,1436.0,642.0,1.0,1.0
